film_id,usuario,pelicula,puntuacion,resena
moonrise-kingdom,annabean,Moonrise Kingdom,9.0,"I wanted to watch a Wes Anderson movie to get in the mood forAsteroid City.I picked this one because it seems like it might be the closest in form: the retro setting, a (super)natural intervention, satire of societal authorities, and childhood wonder vs. sad adulthood. I guess I'll find out tomorrow..."
spider-man-across-the-spider-verse,annabean,Spider-Man: Across the Spider-Verse,5.0,"Spider-Punk is the MVP -- literally the most consequential ally for both Miles and Gwen. And it's really not a coincidence that he's the breakout character here. This whole series, but particularly this chapter, shows a truly anti-establishment sensibility: breaking animation rules, interrogating comic book tropes, challenging old generational ideologies (including the popular 'well, I suffered; therefore, so must you'), and rejecting societal constraints of what people are allowed to be.Don't ever let society (even Spider Society) tell you how to live your own life."
spider-man-across-the-spider-verse,annabean,Spider-Man: Across the Spider-Verse,5.0,"I didn't realize I was in for my second cliffhanger at the movie theater within a week. Though obviously this ending is infinitely more thoughtful, meaningful, and interesting thanFast X's dumb, lazy bullshit. The contrast is, quite frankly, staggering.I also didn't realize that Joaquim Dos Santos is one of the directors on this film. I've been a fan of his for a great many years, throughAvatar: The Last Airbender, The Legend of Korra,andVoltron: Legendary Defender.…"
little-women-2019,theblogosfear,Little Women,5.0,"i may act tuff like i'd drink from a puddle of spider goo but actually i cry 10,000 times at little women. so beautiful and tender and sweet. perfectly paced! incredibly funny. everyone is wonderful. im shocked by how much i loved this, from the first second to the final frame. tracy letts shouldve been a ken in the barbie movie! GRETA GERWIG U HAVE WON ME BACK! prob not for long but I LOVE LITTLE WOMEN!!!!!!!"
how-to-train-your-dragon-2025,smgaaron,How to Train Your Dragon,7.0,"“See, now this is what I'm talking about!”Okay this actually was a fun ass movie one of the best remakes of an animated film you know what fuck it it’s the best remake of an animated film it didn’t change anything or made it stupid it felt just like the original but nothing beats that 2nd act.7.8/10Cinematography 8/10Writing 7/10Acting 8/10Story 9/10Action 9/10Effects 8/10How to train your dragon ranked2025 ranked"
the-empire-strikes-back,smgaaron,The Empire Strikes Back,5.0,In honor of my birthday I decided to rewatch my favorite film of all time and still holds up as the godfather in the Star Wars franchise.
interstellar,smgaaron,Interstellar,5.0,In honor of Father’s Day I decided to rewatch my dad’s favorite movie which is interstellar and whiplash but I choose interstellar because it’s better in my opinion.This film is still an emotional ride though space and time with amazing acting and one of the if not the greatest soundtrack of all time and the special effects are just mind blowing tho it’s not the same at home I miss when it was on 70mm IMAX.11/10Anyways I…
jurassic-park,smgaaron,Jurassic Park,5.0,“Welcome to Jurassic Park”This shit is fucking amazing the cgi the story the everything and amazing actors and child actors.10/10My homie Steve don’t like itStinky fart holeMasterpieces
conan-obrien-the-kennedy-center-mark-twain-2025,abriss,Conan O’Brien: The Kennedy Center Mark Twain Prize for American Humor,,"an all-time Bro Think He’s On The Team moment when it cut to Sean Evans in the balcony nestled between Burr and Mulaney lmaoOther than that (and of course Colbert’s embarrassingly forced attempt to replicate the organic magic that Conan produced on the chicken wing show — a fool’s errand that revealed just how singular Conan is, and just how juiceless Colbert is by comparison) what a poignant and perfect celebration of the true GOAT of Late Night. “Conan…"
tampopo,abriss,Tampopo,5.0,when the table of stuffy businessmen all turned lobster-red after someone they considered their subordinate displayed better etiquette/menu-comprehension than them I started chef’s-kissing so rapidly my fingers started bleeding.
killer-of-sheep,abriss,Killer of Sheep,,All that work for nothing.America as abattoir. What an achievement.[4K restoration at the Laemmle NoHo]
sinners-2025,abriss,Sinners,,"Ryan Coogler escaped the Disney Industrial Complex stockades virtually unscathed and returned with a certified face-melter with two important key themes: 1) if a fat cracker from the owning class thinks you’re for sale, immediately unload an entire magazine into his chest and 2) eating pussy is cool as hell actually.Delroy Lindo MVP. Ruth Carter went nuts. 70mm print absolutely stunning. Mr. Coogler welcome home."
the-social-network,abriss,The Social Network,5.0,Still perfect. Sorkin should be killed for his crimes.
the-vietnam-war,flanaganfilm,The Vietnam War,,"This 10-part, 18-hour series is, in my opinion, the greatest documentary ever made.I make a point to try to watch this once a year, an hour or so at a time, broken up over many weeks. It is immersive and thorough, benefitting fully from the hindsight of history as it painstakingly chronicles one of the most tragic follies in American foreign policy.From the ignored foreshadowing of France's attempted occupation in the century prior, to the dawning realization of…"
sinners-2025,flanaganfilm,Sinners,,Enjoyed it even more the second time. Going for a third when it's re-released in IMAX.
sinners-2025,flanaganfilm,Sinners,,"WOW - absolutely loved this. Terrific performances, some truly jaw-dropping music sequences (that first one at the juke joint is an all-timer), and the vampires are just a metaphorical wrapper for a story about racial and cultural identity, appropriation, and legacy. I thought the film was very, very good as the credits started to roll, but the mid-credit sequence elevated it to absolute greatness for me, and fully completed the emotional arc of the whole movie. Felt really bad for…"
oldboy,flanaganfilm,Oldboy,,"The third film in our Park Chan-wook screening series at the Flanaplex, and the second of his unofficial ""Vengeance Trilogy,"" OLDBOY blew the roof off last night.I consider the Vengeance Trilogy to be one of the most significant works of art in the medium. There isn't much to be said about OLDBOY that hasn't already been said - it is a harrowing, brilliant, adrenalized entry in Park's extraordinary filmography, and tends to be most people's introduction to the filmmaker.…"
sympathy-for-mr-vengeance,flanaganfilm,Sympathy for Mr. Vengeance,,"The second film in our Park Chan-wook screening series at the Flanaplex, and the first of his unofficial ""Vengeance Trilogy,"" SYMPATHY FOR MR. VENGEANCE finds the brilliant filmmaker at perhaps his bleakest.I consider the Vengeance Trilogy to be one of the most significant works of art in the medium, and this movie hits different when considered the first act of a three-part opus.By itself, it is a ruthlessly efficient morality play that pits its central characters against each…"
joint-security-area,flanaganfilm,Joint Security Area,,"Our next screening series at the Flanaplex is focused on the work of my favorite living filmmaker, Park Chan-wook.Considered by most (including Park) to be his first real feature (he made two others prior to this that were essentially disowned), J.S.A. tells the story of a shooting at the DMZ outposts between North and South Korea. A neutral investigator is brought in to get to the truth of the incident before it ignites a war, and finds the survivors…"
sing-sing-2023,flanaganfilm,Sing Sing,,"One of my absolutely favorites of 2024.I absolutely loved this movie. Centered on the real-life Rehabilitation Through the Arts program at Sing Sing prison, the movie tells the story of several inmates and the impact that RTA has on them.Performances by Coleman Domingo and Paul Raci are fantastic, as are those by the supporting cast, particularly Clarence ""Divine Eye"" Maclin and Jon-Adrian ""JJ"" Velazquez, who are actual alumni of the program. Maclin is spectacular, and the realization of…"
once-upon-a-time-in-america,flanaganfilm,Once Upon a Time in America,,"Last night we finished our Sergio Leone screening series with his magnum opus, ONCE UPON A TIME IN AMERICA. Rahul Kohli curated and presented our Leone screenings, which started last summer with A FIST FULL OF DOLLARS, FOR A FEW DOLLARS MORE, THE GOOD THE BAD & THE UGLY, ONCE UPON A TIME IN THE WEST, and ended last night with this film, Leone's final work and - I think - his masterpiece.The story behind the film is a fascinating…"
flow-2024,flanaganfilm,Flow,,"Very cool. Beautiful animation, simple but involving story. Each little vignette offers a subtle message about empathy, cooperation, tenacity, and connection, all accomplished without a spoken word. It's a lovely little poem about adapting to the unexpected struggles of life, and how none of us can do that alone.And you really get emotionally invested in that cat."
how-to-train-your-dragon-2025,heyitsvasili,How to Train Your Dragon,7.0,How to (Copy and Paste) Your Dragon
sinners-2025,heyitsvasili,Sinners,9.0,the greatest contribution to pop culture hailee steinfeld has made since her hit single most girls
lilo-stitch,heyitsvasili,Lilo & Stitch,9.0,STITCH DON’T PLAY ABOUT OHANA
the-royal-tenenbaums,wexlleyxn,The Royal Tenenbaums,8.0,"Meu Deus eu amei demais, filme perfeito, lindo e emocionante, e com bastante reviravoltas combinadas com atuações espetaculares, uma história muito boa e totalmente a cara doWes Anderson, esse cara é excelente em tudo que ele faz, até agora não vi um filme ruim dele, coisa que poucos diretores conseguem. A estética do filme é linda demais, fotografia impecável e uma trilha sonora boa demais, a história bem fácil de entender, toda dividida pra não se perder, toda explicativa,…"
jurassic-park,wexlleyxn,Jurassic Park,9.0,"Um clássico né gente, finalmente comecei a ver essa franquia pela primeira vez e já começou muito bem, jaja tem novo filme no cinema e talvez eu veja no cinema (não prometo nada). Tudo aqui é perfeito demais, a história é muito boa, a trilha sonora excelente, a fotografia muito linda, não dava pra esperar muita coisa do CGI mas também naquela época é impossível ficar uma coisa surreal de bom, mas aqui é legal, não chega a ser tosco,…"
lawrence-of-arabia,meteorrejector,Lawrence of Arabia,5.0,GODLIKE
the-young-girls-of-rochefort,meteorrejector,The Young Girls of Rochefort,8.0,dances maybe could have used an extra week of rehearsals lol
pride-prejudice,meteorrejector,Pride & Prejudice,9.0,i don’t recommend watching this while on your period. he asked her to dance and i started vibrating like an alarm clock
the-blues-brothers,meteorrejector,The Blues Brothers,9.0,this could wake me from a coma
the-apartment,meteorrejector,The Apartment,8.0,The Airbnb
whats-up-doc-1972,meteorrejector,"What's Up, Doc?",5.0,every time i watch this i become 14% more autistic
the-straight-story,meteorrejector,The Straight Story,7.0,these people remind me of the cars fromcars
mulholland-drive,meteorrejector,Mulholland Drive,8.0,this is what everyone sounds like to me (i’m autistic)
before-midnight,meteorrejector,Before Midnight,9.0,"my god i love people. i love when we arepeople.not just a person and then another and then another, butpeople.with the little space in between. everything is a conversation. the words we use, the way we dress, how our accents sound, the steps we take, the assumptions we make. we are always talking. and we are always talking about ourselves. it is all we ever do. it is all we have ever done. we are always right and…"
onibaba,iancurtys,Onibaba,5.0,much probably the greatest comedy piece in cinematic history and I don't think this needs any further explanation.
stop-making-sense,iancurtys,Stop Making Sense,5.0,let's be clear in one thing...this is the one and onlyvalidcultural reset.
theorem,iancurtys,Theorem,9.0,they're probably dead now but damn.... everyone's so pretty hot in this
ratatouille,iancurtys,Ratatouille,9.0,the perfect film to watch when you hungry
3-iron,iancurtys,3-Iron,9.0,iron man 3 tried but couldn't top this masterpiece
day-for-night,iancurtys,Day for Night,5.0,"'La Nuit américaine' is just so hysterical everything works in such a delicate and magical way. Showing the cinema behind the scenes shouldn't have been easy, but it clearly didn't have become a problem in the hands of a genius like Truffat. The proposal is obvious. the vision we have's that the viewer always gets that good part of a film, where everything is scripted and perfectly balanced when in fact what happens on the outside is completely different, while…"
lady-vengeance,iancurtys,Lady Vengeance,8.0,*geum-ja takes off her red eyeshadows and put some lipstick on*me:this is cinema
let-the-right-one-in,iancurtys,Let the Right One In,9.0,"Enchanted by the depth and sensitivity of this work, even though it has very intriguing minimalist horror elements and an uncomfortable atmosphere, ""Let the Right One In"" should not be typified just as a horror film, but also as a beautiful love story between two children with completely different problems that identify with loneliness and the need to be together.The construction of the relationship between Eli and Oskar is very interesting and ambiguous because it's built from the need…"
radiohead-in-rainbows-from-the-basement,iancurtys,Radiohead: In Rainbows - From the Basement,5.0,valentine's daywho? I'm fine being single while listen to my favorite band sounding refreshing live till my body collapses!!!
jojo-rabbit,iancurtys,Jojo Rabbit,7.0,I thought nothing could ever top the use of heroes by david bowie in perks of being a wallflower and I was clearly wrong.maybe we have a tie here
kikis-delivery-service,iancurtys,Kiki's Delivery Service,7.0,"Studio Ghibli once again stands out through its magnificent ability to portray human reality in a stunning way, in the midst of fantastic elements that never properly steal the scene and become the focus of the plot being there only to highlight the story and give a pinch magic not a little different from ours.Kiki's is a powerful portrait of adolescence and our vision for the character to explore this time of life full of discoveries and challenges, such…"
bound,taylorfilmguy,Bound,8.0,"Love how low concept this is. It starts out as “what ifDrivehad swag” for like 40 minutes and then becomes total straight-faced Hitchcock for the last hour, where the simplicity becomes a visual playground for Pope and the Wachowskis. The erotic element is a bit front loaded (and quite loaded that front is, I’ll add), but when the ostensible main character drops out of the movie for so long, the sense of voyeurism that’s been built up helps justify her presence in the other room. After watchingDr. MabuseI can’t look at Joey Pants the same way, I only see Rudolf Klein-Rogge."
the-birdcage,taylorfilmguy,The Birdcage,5.0,"One of those late-ish career works that’s every bit as electric as the filmmakers’ earlier stuff. On the neo-screwball meter, this isn’t as physically chaotic asWhat’s Up, Doc?, but Nichols is simply keeping everything on a tight leash so that May’s writing can speak for itself (this thing takesThe Heartbreak Kid’s “no deceit in the cauliflower” shtick and stretches it out for like 45 minutes). Non-stop psychic damage (Yasser Arafat and Kate Moss on Jay Leno), all-time Nathan…"
mission-impossible-fallout,taylorfilmguy,Mission: Impossible – Fallout,8.0,"McQuarrie’s crowning achievement. I used to take issue with how many convoluted reversals we get one after another in the middle of the movie, but this time around I actually appreciated that it condenses all of its plotting into this one section, shotguns it and gets it out of its system so that everything before and after can be devoted to nothing but set pieces. Any one of these on its own would be a Mount Rushmore sequence for the…"
the-bridges-of-madison-county,filmcal,The Bridges of Madison County,5.0,the last 20 minutes feel like you’re being hit by a train. meryl streep you are truly the greatest of all time i will let your academy award payola slide for the rest of time
largent-1983,filmcal,L'Argent,6.0,lost me in the second half and never really won me back over
tokyo-sonata,filmcal,Tokyo Sonata,8.0,kinda amazed at how so simple but effortless this was in how it adds layers upon layers for the three family members we follow
humanist-vampire-seeking-consenting-suicidal-person,filmcal,Humanist Vampire Seeking Consenting Suicidal Person,8.0,incredible concept and execution! loved the different ways they incorporated typical coming of age/teenager tropes into a vampire version and both leads had great awkward chemistry with each other
a-single-man,filmcal,A Single Man,9.0,a gorgeously directed movie by tom ford who makes every single person on screen beautiful (nicholas hoult in particular). julianne moore’s performance is also everything especially her accent
certified-copy,filmcal,Certified Copy,6.0,"i kinda have no thoughts on this, i don’t know if i liked it or if i hated it and it didn’t really feel like a film at all either. as i was watching i was hoping and waiting for something to trigger an emotion towards this but i just have nothing at all"
throne-of-blood,filmcal,Throne of Blood,8.0,quite literally cannot go wrong with kurosawa and shakespeare. my only complaint is that i would’ve liked the no man born of a woman can harm macbeth prophecy to be included just because the c-section reveal is one of the best reveals in all of literature (glad they had the moving forest part though)
happiness-1965,filmcal,Le Bonheur,8.0,those final like 10 minutes oh my god …. scared to think about how this might have been received back in 1965 and people being incredibly dense and obtuse about the whole story
lawrence-of-arabia,filmcal,Lawrence of Arabia,8.0,"surprisingly i didn’t feel the runtime at all and im glad to have finally gotten round to watching this. gorgeous filmmaking that we just don’t see nowadays, every wide shot in the desert featuring all the men and camels is just incredible. i definitely preferred the first half to the second but lawrence’s story arc is very well executed from start to finish."
papillon,filmcal,Papillon,7.0,great ending! struggled to keep my interest in the middle if i’m honest though
the-player,filmcal,The Player,8.0,glup shitto (hollywood actor edition)
star-wars-episode-iii-revenge-of-the-sith,filmcal,Star Wars: Episode III – Revenge of the Sith,5.0,"happy 20th birthday to one of the best star wars films ever made!!!!also side note but with the release ofandorand the incredible job that has been done by genevieve o’reilly as mon mothma i can’t help but feel that those deleted scenes about the formation of the rebellion with padme, bail and mon are really the missing cherry on top for this film. will forever hate whatever executive was like “cut the politics babble focus on action”"
hero-2002,filmcal,Hero,7.0,very straightforward story wise but with an interesting personal conflict plus the action sequences are simply breathtaking and poetic in a way
sinners-2025,filmcal,Sinners,6.0,feel a bit let down and left out that i don’t seem to have enjoyed this as much as everyone else but this was kind of a disappointment but it’s still very far from being a bad movie.i felt the story and characters were so bare boned and the movie relied heavily on the genre it’s playing in and the incorporation of the time period and location. there’s also an actual interesting concept that is done in here in…
how-to-make-millions-before-grandma-dies,filmcal,How to Make Millions Before Grandma Dies,8.0,very moving and touching as expected. the grandma should’ve slapped her older brother though
playtime,filmcal,PlayTime,9.0,definitely not everyone’s cup of tea but i loved this and all its ridiculous set ups and goofs. the entire restaurant sequence was hilarious plus the actual movie looks gorgeous too
to-live-and-die-in-la,filmcal,To Live and Die in L.A.,5.0,great action scenes but found myself quite bored and i really struggled to follow who was who because all the men looked alike except for willem dafoe (it was fun seeing him young too)
cleo-from-5-to-7,filmcal,Cléo from 5 to 7,6.0,a bit upset i didn’t love this like everyone else seems to but i still enjoyed it and loved the direction and camera work but i just struggled getting into the story and the main character. maybe on a rewatch i’ll like it more but i’m glad i’ve finally watched it and finally watched an agnes varda movie too!
interstellar,filmcal,Interstellar,5.0,finally watched this in imax and this still remains nolan’s best movie by miles. the docking scene on that huge screen was everything
blade-runner,filmcal,Blade Runner,7.0,need to inject the set and lighting design directly into my bloodstream
the-bitter-tears-of-petra-von-kant,filmcal,The Bitter Tears of Petra von Kant,7.0,a little bit drawn out if i’m honest but i can’t say i wasn’t intrigued and captivated. loved the way margit carstensen moved in this and also how she wore those wigs too
the-hateful-eight,filmcal,The Hateful Eight,8.0,highly entertaining especially that third act that took me by surprise with a certain sudden appearance. a shame that neither samuel l jackson or walton goggins got any love from the academy awards though
the-fugitive-1993,filmcal,The Fugitive,7.0,went on for a little bit too long and lost me in the second half if i’m honest but still pretty solid action thriller mystery! plus harrison ford is on screen so i can’t complain too much. also tommy lee jones is just soooo good
the-seed-of-the-sacred-fig,filmcal,The Seed of the Sacred Fig,6.0,a solid first half that i was hoping would lead to a better climax. i feel like the message of the movie and the creation of it is great and i admire the whole crew for it but i wish the final product was something i enjoyed equal to the courage of the production itself. the third act is far too silly and goes on for longer than needed but i did like how this is one of the rare…
red-rooms,filmcal,Red Rooms,6.0,disturbing and unnerving to watch especially from the point of view of our off putting main character who we never really know the intentions behind her actions throughout. should be a mandatory watch for every weirdo who obsesses over true crime and makes youtube videos with insensitive thumbnails and titles. after hearing so much about this though i was expecting something different that was actually challenging to watch but i think the lack of gore and violence shown was a great choice.
our-little-sister,filmcal,Our Little Sister,9.0,i don’t know how kore-eda does it but he really does know how to create such a unique human and familial story every time. grown up siblings are always an interesting dynamic and even more so if they are all under the same roof and suddenly take in their half-sister after their father dies. just perfect as always i’m going to be really sad when i eventually run out of his work and i have to wait for whatever he creates next
im-still-here-2024,filmcal,I'm Still Here,5.0,went into this completely blind and came out crying. this exceeded expectations and this awards season shouldn’t even be a competition ….
mikey-and-nicky,filmcal,Mikey and Nicky,7.0,excellent performances and examination of a friendship but it really felt like it went on forever. i wish the ending hit me more but honestly i just didn’t really care much for either of the characters after the scenes with that one woman in the house likehalfway through
company-a-musical-comedy,filmcal,Company: A Musical Comedy,9.0,sondheim may just be God.cried at the ending and everyone is soooooo good but thatbeing aliveby raul esparza is just on a whole other level which is saying something because you haveladies who lunchjust before it. lovedddd the fact the cast were also the orchestra and played and sang their own songs. i would genuinely kill to have watched company on opening night in 1970 just to witness the audience reaction togetting married today
police-story,filmcal,Police Story,9.0,maybe one of the coolest movies ever made and you think you’ve watched the craziest stunt possible and then like 20 minutes later an even crazier stunt happens. loved them showing the pole stunt 3 times in a row just because of how impressive it was.the sequence towards the start with the cars driving through the village on the hill might be one of the best action set pieces ever
the-hidden-fortress,filmcal,The Hidden Fortress,6.0,found this to be a bit tedious and annoying if i’m honest even though i really love the other kurosawa movies i've watched. very funny watching this and seeing the moments that so obviously inspired george lucas though
batman-under-the-red-hood,ghostfacereveal,Batman: Under the Red Hood,5.0,“why? i’m not talking about killing penguin or scarecrow or dent. i’m talking about him. just him. and doing it because… because he took me away from you.”
good-will-hunting,ghostfacereveal,Good Will Hunting,5.0,"sean maguire:it’s not your fault.will hunting:don’t fuck with me, alright? don’t fuck with me, sean. not you.such a powerful scene. i’ve never related to a character this much before, and i’ve never felt so represented. self-sabotage is sad."
the-dark-knight,ghostfacereveal,The Dark Knight,5.0,"harvey dent/two-face:you either die a hero, or you live long enough to see yourself become the villain.elite movie. one of my all timers."
fantasia,juststopyt,Fantasia,8.0,"When that one popular kid says something smart and insightful, but no one gets it, so he just never says shit again"
spider-man-across-the-spider-verse,juststopyt,Spider-Man: Across the Spider-Verse,9.0,"The first time I saw this, I was so excited, I accidentally left my car keys in the ignition for the whole 2 1/2 hours it was going.Thankfully, my car didn't get stolen, since the security saw, but whenever I think of this, I'm always reminded of how it gave me hype like no other movie has before, and watching it again? Yeah, I'd probably do that same shit all over again for another screening.Genuinely suffering withdrawl from Beyond not being released yet."
perfect-days-2023,robertdavid,Perfect Days,9.0,Is this the modern age?
dune-part-two,robertdavid,Dune: Part Two,5.0,at least we'll always have Lynch's toddler Alia 🙏
the-graduate,robertdavid,The Graduate,5.0,DO NOT TEASE
all-of-us-strangers,robertdavid,All of Us Strangers,9.0,are you still scared of fireworks?
eyes-wide-shut,robertdavid,Eyes Wide Shut,5.0,this pot is making you aggressive
the-rocky-horror-picture-show,ianjonas,The Rocky Horror Picture Show,5.0,What an old movie. 5 STARS!
gaga-chromatica-ball-2024,ianjonas,Gaga Chromatica Ball,5.0,"GREATEST PERFORMER ALIVE, I CHOKED 💜😻"
dune-part-two,ianjonas,Dune: Part Two,5.0,"It's so epic, it is the new Lord of the Rings, yes?"
grave-of-the-fireflies,ianjonas,Grave of the Fireflies,5.0,That fucking aunt...
kikis-delivery-service,ianjonas,Kiki's Delivery Service,5.0,So this is what child trafficking looks like in Japan
monster-2023,ianjonas,Monster,5.0,"""Poor Things"" would also be a proper title for this movie.PS. Did they die in the end? Was that their afterlife? WTF"
poor-things-2023,ianjonas,Poor Things,5.0,"Willem Dafoe has been in the ""why tf not?"" stage of his career for almost 30 years now and it's been fun to see"
all-of-us-strangers,ianjonas,All of Us Strangers,8.0,This is one of those rare movies that makes you feel like you're stepping into an entirely formed and real world that you didn't know you needed to visit until you got there.
the-wind-rises,ianjonas,The Wind Rises,8.0,An earthquake and a war.Japan survived such horrible decades.Let's live in the now with gratitude.
society-of-the-snow,ianjonas,Society of the Snow,5.0,I was eating a burger when I saw this. Not a very sound idea. I should watch trailers next time.
anatomy-of-a-fall,ianjonas,Anatomy of a Fall,5.0,"About the ending: Sandra Hüller's character straight up tells you: ""When you win, it's just ... over."" And that's the ending. And every one of us expecting something more, something bigger, louder and more noteworthy are all just some crime fetish, trial porn voyeurs and spectators. It's glorious."
miley-cyrus-endless-summer-vacation-backyard-sessions,ianjonas,Miley Cyrus - Endless Summer Vacation (Backyard Sessions),5.0,she always manages to make her live performances sound way better than the studio versions
the-banshees-of-inisherin,kmokler,The Banshees of Inisherin,9.0,Martin McDonagh continues to make nothing but quality movies one after the other. A simple premise made all the better by a phenomenal cast.
guardians-of-the-galaxy-vol-3,kmokler,Guardians of the Galaxy Vol. 3,8.0,Last few MCU movies have left me disappointed but this is the best one since No Way Home I’d say.
ford-v-ferrari,kmokler,Ford v Ferrari,8.0,Damon and Bale are in this. Enough said.
knives-out-2019,kmokler,Knives Out,8.0,I've been a bit lazy on letterbox recently and well the simple explanation for that is life happened. But I felt obligated to say that I liked this movie so I guess that speaks volumes on this movie's behalf.
inside-llewyn-davis,kmokler,Inside Llewyn Davis,8.0,Perhaps my favourite Coen Brother film!
avengers-endgame,kmokler,Avengers: Endgame,9.0,"Everything I wanted to happen in this movie, happened."
hereditary,kmokler,Hereditary,5.0,"When you've reviewed and talk about so many excellent movies, you get to a point where you literally run out of words to say because you've already used them all up, great, amazing, incredible etc. In this case their are no words, the emotions I felt during the running time of this film can't be expressed in words, you must view things for yourself to understand the true impact."
mission-impossible-fallout,kmokler,Mission: Impossible – Fallout,5.0,"I enjoy the hell out of ghost protocol and rogue nation but I felt that both had disappointing endings, in fact I don't remember how either film ended but this film, this fallout, I won't be forgetting a second of this shit!"
the-prince-of-egypt,larallh,The Prince of Egypt,4.0,"i went to a catholic school for 13 years and i didn’t like this, i’m going to hell"
hiroshima-mon-amour,larallh,Hiroshima Mon Amour,2.0,"first 25 minutes were great, then it just started falling off for me, maybe i’m just too tired today </3P.S: i’m so sorry in advancejoe, i know how much you like this movie"
belle-de-jour,larallh,Belle de Jour,5.0,"the colors, hair, outfits, dialogues, catherine deneuve… everything reminded me and made me think a lot of my beloved jacques demy, one of my favorite directors ever!! though i think he wouldn’t really like the masochist part, but the “prostitute”part is totally his thing just like we see in lola (1961) or la baie des anges (1963)i’m really glad that catherine gets to wear in all of her movies these gorgeous and elegant clothes, everytime i finish a movie…"
y-tu-mama-tambien,larallh,Y Tu Mamá También,5.0,me playing luis miguel in the background while watching this made me enter some sort of heaven
